ra,dec,brick
11.859566175408231,42.31732700033302,230
11.571143641059436,42.238752185138665,231
11.59494129316052,42.348323537254146,232
11.835645305307935,42.20782441928287,233
11.94877572946508,42.194499932174814,220
11.661429321853092,42.115519338021194,221
11.684859356226285,42.22527757138872,222
11.92528280970714,42.08477480939529,223
11.684690317903952,42.22529614808591,210
11.397161954843392,42.14629017728988,211
11.420598584779349,42.25595182500509,212
11.661278147143973,42.115534600324104,213
11.881880167910799,42.08979971057464,200
11.594832379298717,42.010875443136456,201
11.619261268310977,42.1203856515073,202
11.858491320625163,41.97966886386868,203
11.618018741438584,42.12053336528019,190
11.330958815220235,42.04191120655709,191
11.354565140501096,42.151211443840765,192
11.594757806693991,42.01075222953554,193
11.750191906098053,41.992304932022975,180
11.46386883970507,41.91378001684182,181
11.487617999219232,42.023380628949155,182
11.726633095672927,41.88255002220051,183
11.487077008441785,42.023412012231496,170
11.200488284126601,41.944959878005214,171
11.224021081880348,42.054515390802194,172
11.463777019379567,41.91373142694421,173
11.637712456389844,41.8930260230669,160
11.351562841724112,41.814420584888666,161
11.374997346557024,41.92407716633265,162
11.61420565980444,41.783369313274726,163
11.374963511976654,41.924190192868586,150
11.088638105171581,41.8456881240517,151
11.112148634543704,41.95527770640095,152
11.351548727998221,41.8144528223784,153
11.577699698359833,41.78746987544163,140
11.292217599287378,41.70915808596834,141
11.315337714393385,41.81865388994361,142
11.5544613545259,41.67793233659808,143
11.315246734013073,41.818672677370074,130
11.029807362802758,41.7401654947851,131
11.053054945922822,41.849766558575936,132
11.29149278735891,41.709092856261336,133
11.541836401326924,41.65392809274165,120
11.238424298407754,41.63271999663301,121
11.298853569718737,41.73429406402261,122
11.481251457053702,41.55246455701784,123
11.286609284384157,41.70965626240389,110
11.008652862951761,41.66734790751662,111
11.024173807083434,41.74077947462779,112
11.263464974166583,41.599971502686586,113
11.471539394849476,41.55563929476997,100
11.169121335218584,41.53430211060993,101
11.229345239030003,41.63567188497117,102
11.410887095012187,41.45392326194212,103
